step	loss
0	0.6121631450775342
1	0.4312047755501173
2	0.24462229095306226
3	0.2190365131866363
4	0.1957782925835196
5	0.15778277938103963
6	0.1782033441771021
7	0.1820088454233209
8	0.16181451236328093
9	0.13158318112537815
10	0.15427534207184193
11	0.14104579461547284
12	0.15403395752113463
13	0.14587516422827138
14	0.15218021457312114
15	0.11506368925333132
16	0.17935334921775206
17	0.12381843509137844
18	0.1396780655466083
